hidden_size,n_layers,lr,weight_std,normalize,activation,batch_size,epochs,train_loss,val_loss,train_acc,test_acc,train_precision,test_precision,train_recall,test_recall,train_f1,test_f1,train_auc,test_auc,time_s
16,2,0.05,0.01,False,relu,32,300,0.5737573300735381,0.632236182499296,0.7231404958677686,0.7049180327868853,0.7156862745098039,0.75,0.6576576576576577,0.5357142857142857,0.6854460093896714,0.625,0.7687916924558146,0.7142857142857143,0.40891575813293457
16,2,0.1,0.01,False,relu,32,300,0.5721311135164712,0.6450077888041491,0.7231404958677686,0.6885245901639344,0.7156862745098039,0.7142857142857143,0.6576576576576577,0.5357142857142857,0.6854460093896714,0.6122448979591837,0.7711986795956262,0.7164502164502166,0.3992593288421631
32,2,0.01,0.01,False,relu,32,300,0.5892330308596749,0.6341684570487277,0.6570247933884298,0.6557377049180327,0.6842105263157895,0.7333333333333333,0.46846846846846846,0.39285714285714285,0.5561497326203209,0.5116279069767442,0.7579946358572313,0.7088744588744589,0.47440075874328613
32,2,0.05,0.01,False,relu,32,268,0.569823697861349,0.6215391223548105,0.7066115702479339,0.7049180327868853,0.6724137931034483,0.7272727272727273,0.7027027027027027,0.5714285714285714,0.6872246696035242,0.64,0.7675538133553401,0.7175324675324675,0.3809349536895752
32,2,0.1,0.01,False,relu,32,300,0.5661782553202764,0.635805699656737,0.7231404958677686,0.6885245901639344,0.7244897959183674,0.7142857142857143,0.6396396396396397,0.5357142857142857,0.6794258373205742,0.6122448979591837,0.7709923664122137,0.7142857142857143,0.4790208339691162
8,1,0.01,0.1,False,relu,32,300,0.5718890108963375,0.6340180547193307,0.7066115702479339,0.6721311475409836,0.7380952380952381,0.7222222222222222,0.5585585585585585,0.4642857142857143,0.6358974358974359,0.5652173913043478,0.7741558352245376,0.7153679653679653,0.26837897300720215
8,1,0.05,0.1,False,relu,32,300,0.5680655715571019,0.6975890274402443,0.7148760330578512,0.6885245901639344,0.7058823529411765,0.7368421052631579,0.6486486486486487,0.5,0.676056338028169,0.5957446808510638,0.7873942644935011,0.7023809523809524,0.2762417793273926
8,1,0.1,0.1,False,relu,32,300,10.387952655962282,9.85571115331382,0.5413223140495868,0.5409836065573771,0.0,0.0,0.0,0.0,0.0,0.0,0.39398940925658477,0.45346320346320346,0.2667531967163086
16,1,0.01,0.1,False,relu,32,300,0.5613559646975108,0.6274994141283814,0.7107438016528925,0.6229508196721312,0.7469879518072289,0.6666666666666666,0.5585585585585585,0.35714285714285715,0.6391752577319587,0.46511627906976744,0.7884602159411319,0.735930735930736,0.27729225158691406
16,1,0.05,0.1,False,relu,32,13,12.310179025475488,12.374103318029462,0.5413223140495868,0.5409836065573771,0.0,0.0,0.0,0.0,0.0,0.0,0.600027508424455,0.6277056277056277,0.013107061386108398
16,1,0.1,0.1,False,relu,32,300,12.214262496829795,12.271814603724007,0.45867768595041325,0.45901639344262296,0.45867768595041325,0.45901639344262296,1.0,1.0,0.6288951841359773,0.6292134831460674,0.589299222887009,0.5259740259740259,0.27834248542785645
32,1,0.01,0.1,False,relu,32,300,10.775171530195173,10.75957841492685,0.45867768595041325,0.45901639344262296,0.45867768595041325,0.45901639344262296,1.0,1.0,0.6288951841359773,0.6292134831460674,0.6241661508837082,0.58008658008658,0.3594684600830078
32,1,0.05,0.1,False,relu,32,300,13.639552532642622,13.500242907276666,0.45867768595041325,0.45901639344262296,0.45867768595041325,0.45901639344262296,1.0,1.0,0.6288951841359773,0.6292134831460674,0.6284643422048002,0.5725108225108224,0.3760106563568115
32,1,0.1,0.1,False,relu,32,87,18.697043202465515,18.68534438929916,0.45867768595041325,0.45901639344262296,0.45867768595041325,0.45901639344262296,1.0,1.0,0.6288951841359773,0.6292134831460674,0.5,0.5,0.10448980331420898
8,2,0.01,0.1,False,relu,32,300,0.5926425888172075,0.6479609864877527,0.7066115702479339,0.6557377049180327,0.7439024390243902,0.7058823529411765,0.5495495495495496,0.42857142857142855,0.6321243523316062,0.5333333333333333,0.7764940513032117,0.7251082251082251,0.4409480094909668
8,2,0.05,0.1,False,relu,32,300,0.5815666833252409,0.6694371589967381,0.6735537190082644,0.639344262295082,0.7051282051282052,0.6875,0.4954954954954955,0.39285714285714285,0.582010582010582,0.5,0.7738119799188501,0.7196969696969697,0.4854259490966797
8,2,0.1,0.1,False,relu,32,300,0.5864590449127716,0.6842216234634699,0.6900826446280992,0.6721311475409836,0.7093023255813954,0.7222222222222222,0.5495495495495496,0.4642857142857143,0.6192893401015228,0.5652173913043478,0.7695481741283269,0.7175324675324676,0.5546643733978271
16,2,0.01,0.1,False,relu,32,300,0.5644896446202616,0.6289739470611392,0.6983471074380165,0.6721311475409836,0.6979166666666666,0.7,0.6036036036036037,0.5,0.6473429951690821,0.5833333333333334,0.7792448937487105,0.7305194805194806,0.5969316959381104
16,2,0.05,0.1,False,relu,32,300,0.5673498086500942,0.6748299047442864,0.6776859504132231,0.6557377049180327,0.7037037037037037,0.7058823529411765,0.5135135135135135,0.42857142857142855,0.59375,0.5333333333333333,0.7884602159411319,0.7196969696969697,0.5450224876403809
16,2,0.1,0.1,False,relu,32,300,0.5793810219687083,0.7037325214400109,0.6735537190082644,0.6557377049180327,0.7051282051282052,0.7058823529411765,0.4954954954954955,0.42857142857142855,0.582010582010582,0.5333333333333333,0.7874974210852074,0.711038961038961,0.5154752731323242
32,2,0.01,0.1,False,relu,32,300,0.5609888951192795,0.6300811476872276,0.7024793388429752,0.6885245901639344,0.7096774193548387,0.7368421052631579,0.5945945945945946,0.5,0.6470588235294118,0.5957446808510638,0.7824083625610343,0.7207792207792207,0.5528316497802734
32,2,0.05,0.1,False,relu,32,300,0.5801175777073118,0.6753568085564181,0.6859504132231405,0.6721311475409836,0.7464788732394366,0.7857142857142857,0.4774774774774775,0.39285714285714285,0.5824175824175825,0.5238095238095238,0.7884602159411319,0.7261904761904762,0.539301872253418
32,2,0.1,0.1,False,relu,32,300,0.5629187727114855,0.6713740216760219,0.6735537190082644,0.6557377049180327,0.7105263157894737,0.7333333333333333,0.4864864864864865,0.39285714285714285,0.5775401069518716,0.5116279069767442,0.7869472525961075,0.6991341991341992,0.5375266075134277
8,1,0.01,0.5,False,relu,32,300,18.502939938741704,18.58983081856034,0.4628099173553719,0.45901639344262296,0.4605809128630705,0.45901639344262296,1.0,1.0,0.6306818181818182,0.6292134831460674,0.43150402310707653,0.47673160173160173,0.32688045501708984
8,1,0.05,0.5,False,relu,32,300,18.49632985689646,18.58019377799885,0.4628099173553719,0.45901639344262296,0.4605809128630705,0.45901639344262296,1.0,1.0,0.6306818181818182,0.6292134831460674,0.43353276941063196,0.4594155844155844,0.3307979106903076
8,1,0.1,0.5,False,relu,32,300,18.48949951500314,18.57261686026529,0.4628099173553719,0.45901639344262296,0.4605809128630705,0.45901639344262296,1.0,1.0,0.6306818181818182,0.6292134831460674,0.43294821539096345,0.47294372294372294,0.34489965438842773
16,1,0.01,0.5,False,relu,32,2,18.697043202465515,18.68534438929916,0.45867768595041325,0.45901639344262296,0.45867768595041325,0.45901639344262296,1.0,1.0,0.6288951841359773,0.6292134831460674,0.5038167938931297,0.5,0.0027174949645996094
16,1,0.05,0.5,False,relu,32,2,18.697043202465515,18.68534438929916,0.45867768595041325,0.45901639344262296,0.45867768595041325,0.45901639344262296,1.0,1.0,0.6288951841359773,0.6292134831460674,0.5038167938931297,0.5,0.0
16,1,0.1,0.5,False,relu,32,2,18.697043202465515,18.68534438929916,0.45867768595041325,0.45901639344262296,0.45867768595041325,0.45901639344262296,1.0,1.0,0.6288951841359773,0.6292134831460674,0.5038167938931297,0.5,0.008533477783203125
32,1,0.01,0.5,False,relu,32,2,18.697043202465515,18.68534438929916,0.45867768595041325,0.45901639344262296,0.45867768595041325,0.45901639344262296,1.0,1.0,0.6288951841359773,0.6292134831460674,0.5,0.5,0.0020122528076171875
32,1,0.05,0.5,False,relu,32,2,18.697043202465515,18.68534438929916,0.45867768595041325,0.45901639344262296,0.45867768595041325,0.45901639344262296,1.0,1.0,0.6288951841359773,0.6292134831460674,0.5,0.5,0.011894702911376953
32,1,0.1,0.5,False,relu,32,2,18.697043202465515,18.68534438929916,0.45867768595041325,0.45901639344262296,0.45867768595041325,0.45901639344262296,1.0,1.0,0.6288951841359773,0.6292134831460674,0.5,0.5,0.00659942626953125
8,2,0.01,0.5,False,relu,32,2,15.842166032376388,15.853864574713098,0.5413223140495868,0.5409836065573771,0.0,0.0,0.0,0.0,0.0,0.0,0.3351901519840451,0.4025974025974026,0.0
8,2,0.05,0.5,False,relu,32,2,15.842166032376388,15.853864574713098,0.5413223140495868,0.5409836065573771,0.0,0.0,0.0,0.0,0.0,0.0,0.3351901519840451,0.4025974025974026,0.0030243396759033203
8,2,0.1,0.5,False,relu,32,2,15.842166032376388,15.853864574713098,0.5413223140495868,0.5409836065573771,0.0,0.0,0.0,0.0,0.0,0.0,0.3351901519840451,0.4025974025974026,0.010210275650024414
16,2,0.01,0.5,False,relu,32,2,15.842166032376388,15.853864574713098,0.5413223140495868,0.5409836065573771,0.0,0.0,0.0,0.0,0.0,0.0,0.5562547280104533,0.6179653679653679,0.01078653335571289
16,2,0.05,0.5,False,relu,32,2,15.842166032376388,15.853864574713098,0.5413223140495868,0.5409836065573771,0.0,0.0,0.0,0.0,0.0,0.0,0.5562547280104533,0.6179653679653679,0.006519317626953125
16,2,0.1,0.5,False,relu,32,2,15.842166032376388,15.853864574713098,0.5413223140495868,0.5409836065573771,0.0,0.0,0.0,0.0,0.0,0.0,0.5562547280104533,0.6179653679653679,0.012786149978637695
32,2,0.01,0.5,False,relu,32,2,15.842166032376388,15.853864574713098,0.5413223140495868,0.5409836065573771,0.0,0.0,0.0,0.0,0.0,0.0,0.3901038443023176,0.44372294372294374,0.002808094024658203
